tgnID	placename	lat	lon	freq
2458737	Little Otter River	37.367	-79.4	000000004
2002140	Amherst	38.617	-78.75	000000022
2114379	Stephens City	39.083	-77.783	000000032
7013687	Hampton	37.017	-75.667	000000076
7017624	Pamunkey	38.8	-76.6	000000028
2114192	Shady Grove	38.25	-78.417	000000006
2375360	Hanovertown	38.683	-76.767	000000002
2112976	Mechanicsville	38.6	-76.633	000000048
7014629	Williamsburg	37.267	-76.3	000000118
7013889	Lexington	38.783	-78.567	000000214
2040707	Payne Gap	37.15	-82.35	000000022
2039302	Hazel Green	38.783	-82.583	000000006
2563225	Owingsville	38.133	-83.25	000000006
2040401	Mount Sterling	38.05	-83.067	000000022
2098810	Denmark	36.517	-89.0	000000042
2744101	Vera Cruz	37.9	-91.517	000000008
7014248	Soledad	36.417	-120.683	000000002
1017095	Córdoba	19.883	-96.067	000000003
7007513	Córdoba	38.883	-4.233	000000003
7002817	Córdoba	39.883	-4.167	000000003
7006288	Córdoba	-30.6	-63.817	000000003
1001169	Córdoba	-32.0	-64.0	000000003
1000542	Córdoba	8.333	-75.333	000000003
2560818	Orizaba Mine	39.5	-117.383	000000002
2005248	Selma	32.4	-86.983	000000138
7013585	Charlottesville	38.017	-77.533	000000322
2056562	Guntown	34.433	-88.35	000000006
2111731	Falmouth	38.317	-76.533	000000020
7013897	Little Rock	35.733	-91.717	000000114
2056100	Canton	33.6	-89.967	000000046
7014362	Roswell	34.017	-83.65	000000018
2062292	Kenesaw	41.617	-98.35	000000014
2471642	Lost Mountain	34.933	-84.317	000000024
2057320	Raymond	32.25	-89.583	000000010
7005898	Solferino	45.383	11.567	000000018
2057455	Senatobia	35.617	-89.033	000000026
2056956	Meridian	32.35	-88.3	000000200
2002182	Prince Edward	37.2	-77.55	000000056
7017708	Winchester	39.183	-77.85	000000410
7007158	Colorado	39.0	-105.0	000000038
2335486	Fort Putnam	41.383	-73.05	000000004
2335409	Fort Moultrie	33.75	-79.15	000000018
7019930	Canadian River	37.0	-104.95	000000008
2117756	Charles Town	39.283	-77.15	000000038
2096871	Walhalla	35.75	-82.95	000000004
2000430	Towns	35.9	-83.283	000000002
2001735	Cherokee	35.05	-81.4	000000002
2000319	Cherokee	34.267	-83.55	000000002
2738632	Union	35.95	-83.7	000000002
2737536	Tygart Valley River	38.467	-79.033	000000002
2100492	Moscow	35.05	-88.6	000000024
2092753	Saint Petersburg	41.15	-79.35	000000004
7011953	Exeter	51.7	-3.467	000000002
7012077	Devon	51.75	-3.25	000000002
7011931	Oxford	52.75	-0.75	000000006
2000439	Ware	31.083	-82.5	000000002
7010597	Liverpool	53.417	-3.0	000000149
2113106	Mossingford	37.95	-78.367	000000006
2111057	Charlotte Court House	37.05	-78.367	000000030
7016154	Harpers Ferry	39.317	-77.267	000000208
7014501	Sharpsburg	39.45	-77.267	000000032
2347734	Georgetown	40.567	-77.05	000000028
7014060	Gettysburg	40.817	-76.783	000000214
